Angle,Distance,Status
0,15,Obstacle
1,13,Obstacle
2,13,Obstacle
3,166,No Obstacle
4,156,No Obstacle
5,150,No Obstacle
6,230,No Obstacle
7,19,No Obstacle
8,19,No Obstacle
9,18,No Obstacle
10,18,No Obstacle
11,18,No Obstacle
12,18,No Obstacle
13,19,No Obstacle
14,18,No Obstacle
15,18,No Obstacle
16,18,No Obstacle
17,19,No Obstacle
18,19,No Obstacle
19,19,No Obstacle
20,19,No Obstacle
21,19,No Obstacle
22,20,No Obstacle
23,19,No Obstacle
24,20,No Obstacle
25,20,No Obstacle
26,21,No Obstacle
27,150,No Obstacle
28,160,No Obstacle
29,150,No Obstacle
30,152,No Obstacle
31,161,No Obstacle
32,150,No Obstacle
33,151,No Obstacle
34,161,No Obstacle
35,149,No Obstacle
36,158,No Obstacle
37,159,No Obstacle
38,150,No Obstacle
39,153,No Obstacle
40,150,No Obstacle
41,153,No Obstacle
42,162,No Obstacle
43,151,No Obstacle
44,152,No Obstacle
45,161,No Obstacle
46,150,No Obstacle
47,153,No Obstacle
48,159,No Obstacle
49,153,No Obstacle
50,160,No Obstacle
51,158,No Obstacle
52,157,No Obstacle
53,160,No Obstacle
54,157,No Obstacle
55,157,No Obstacle
56,160,No Obstacle
57,157,No Obstacle
58,160,No Obstacle
59,166,No Obstacle
60,158,No Obstacle
61,159,No Obstacle
62,166,No Obstacle
63,161,No Obstacle
64,160,No Obstacle
65,166,No Obstacle
66,165,No Obstacle
67,165,No Obstacle
68,165,No Obstacle
69,62,No Obstacle
70,165,No Obstacle
71,165,No Obstacle
72,166,No Obstacle
73,61,No Obstacle
74,166,No Obstacle
75,165,No Obstacle
76,165,No Obstacle
77,166,No Obstacle
78,62,No Obstacle
79,61,No Obstacle
80,165,No Obstacle
81,165,No Obstacle
82,165,No Obstacle
83,165,No Obstacle
84,165,No Obstacle
85,165,No Obstacle
86,166,No Obstacle
87,165,No Obstacle
88,165,No Obstacle
89,60,No Obstacle
90,16,No Obstacle
91,16,No Obstacle
92,15,Obstacle
93,15,Obstacle
94,15,Obstacle
95,14,Obstacle
96,13,Obstacle
97,14,Obstacle
98,13,Obstacle
99,13,Obstacle
100,13,Obstacle
101,13,Obstacle
102,13,Obstacle
103,13,Obstacle
104,12,Obstacle
105,13,Obstacle
106,12,Obstacle
107,12,Obstacle
108,12,Obstacle
109,12,Obstacle
110,12,Obstacle
111,12,Obstacle
112,12,Obstacle
113,12,Obstacle
114,12,Obstacle
115,12,Obstacle
116,12,Obstacle
117,12,Obstacle
